n_paths,plain_se,cv_se,se_reduction,plain_runtime,cv_runtime
5000,0.00033280724339813895,0.00010473755558294609,3.177534949577612,0.014640092849731445,0.005917072296142578
10000,0.00023923166802542479,7.504908718596688e-05,3.1876692574904193,0.00503087043762207,0.009677886962890625
20000,0.00017125475783285587,5.337720596055853e-05,3.208387452115785,0.03931307792663574,0.01984405517578125
50000,0.00010531382902109559,3.3504957021697434e-05,3.1432312822516244,0.0914459228515625,0.04867887496948242
100000,7.532558487712065e-05,2.379439080710526e-05,3.165686631263853,0.19755196571350098,0.30120396614074707
