n_steps,plain_price,cv_price,plain_se,cv_se,cv_runtime
50,0.011428478442865684,0.011275825409792545,0.0002454121753984389,7.678112933706373e-05,0.004472017288208008
100,0.011181568619611114,0.011133853479524352,0.00023802126639135577,7.550808445995912e-05,0.004948139190673828
252,0.01150456548801241,0.011111925497245883,0.00023923166802542479,7.504908718596687e-05,0.009853839874267578
500,0.011275777292113409,0.011071852084049372,0.00024141991328107678,7.585923289150858e-05,0.018503189086914062
